id,inquiry_id,sender_type,sender_user_id,sender_admin_id,body,created_at
1,1,user,8,,강남인데 마포로 표시됩니다.,2025-09-04T02:10:10Z
2,2,user,21,,7월 21일 고라니 신고 처리 결과가 궁금합니다.,2025-09-03T09:00:30Z
3,2,admin,,57,구조 후 안전 조치 완료되었습니다.,2025-09-03T10:10:00Z
4,3,user,34,,비밀번호 재설정 메일이 오지 않습니다.,2025-09-02T15:20:30Z
5,3,admin,,56,메일 재전송했어요. 스팸함도 확인 부탁드립니다.,2025-09-04T01:05:00Z
6,4,user,12,,결제번호 20250831-AB12 취소 부탁드립니다.,2025-09-01T03:40:10Z
7,5,user,31,,사진 업로드 90%에서 멈춰요.,2025-08-31T12:00:20Z
8,5,admin,,57,서버에서 재시도 처리했습니다. 다시 시도 부탁드려요.,2025-09-03T08:30:00Z
9,6,user,1,,신고를 즐겨찾기에 저장하고 싶어요.,2025-08-30T10:15:20Z
10,7,user,45,,야간에 하루 10건 넘게 울립니다.,2025-08-29T06:10:30Z
11,7,admin,,56,중요 알림만 수신하도록 필터를 적용해드렸습니다.,2025-08-29T09:00:00Z
12,8,user,29,,비밀번호 3회 오류로 잠금 해제 요청합니다.,2025-08-28T23:50:20Z
13,8,admin,,58,본인 확인 서류 업로드 부탁드립니다.,2025-09-04T02:00:00Z
14,9,user,40,,내 위치가 500m 정도 오차가 있어요.,2025-08-27T14:12:20Z
15,9,admin,,57,보정값 패치 적용되어 정상화되었습니다.,2025-08-28T11:00:00Z
16,10,user,3,,어제 등록한 신고가 목록에서 안 보입니다.,2025-08-26T07:05:20Z
17,10,admin,,56,백엔드에서 동기화 재시도 중입니다. 잠시만요.,2025-09-03T16:45:00Z
18,11,user,46,,지도를 확대하면 곧바로 앱이 꺼집니다.,2025-09-04T03:10:20Z
19,11,admin,,57,크래시 로그 수집하도록 테스트 빌드 전달드렸습니다.,2025-09-04T03:25:00Z
20,12,user,22,,사진에 위치 정보가 비어 있다고 나옵니다.,2025-09-04T03:15:20Z
21,13,user,55,,메일 링크가 5분 만에 만료돼요.,2025-09-03T22:40:20Z
22,13,admin,,58,유효시간을 30분으로 연장했습니다. 다시 시도 부탁드려요.,2025-09-04T00:05:00Z
23,14,user,8,,알림 권한은 허용했는데 도착하지 않아요.,2025-09-03T21:05:20Z
24,14,admin,,57,디바이스 토큰이 만료되어 재발급 적용했습니다.,2025-09-04T02:50:00Z
25,15,user,40,,오프라인에서도 지도를 보고 싶어요.,2025-09-03T18:10:30Z
26,16,user,29,,다운로드 50%에서 실패합니다.,2025-09-03T14:00:30Z
27,16,admin,,56,서버 타임아웃 완화 패치 후 재시도 요청드립니다.,2025-09-04T01:40:00Z
28,17,user,12,,7월 영수증이 필요합니다.,2025-09-03T09:20:20Z
29,17,admin,,57,이메일로 PDF 영수증 발송했습니다.,2025-09-03T12:35:00Z
30,18,user,33,,임시저장 후 재접속 시 복원이 되나요?,2025-09-03T07:55:20Z
31,18,admin,,58,다음 업데이트에 자동 복원 기능 포함 예정입니다.,2025-09-04T02:32:00Z
32,19,user,21,,인증실패 5회로 잠겼습니다. 해제 부탁드려요.,2025-09-03T06:25:20Z
33,19,admin,,56,본인확인 후 제한 해제 완료했습니다.,2025-09-03T08:10:00Z
34,20,user,3,,LTE에서만 느립니다.,2025-09-02T23:45:20Z
35,20,admin,,57,CDN 경로 수정으로 해결되어 티켓을 종료합니다.,2025-09-03T10:00:00Z
36,21,user,43,,공유 버튼이 반응이 없어요.,2025-09-02T19:30:20Z
37,21,admin,,58,재현되어 핫픽스 준비 중입니다.,2025-09-04T02:20:00Z
38,22,user,47,,알림 설정을 켜도 다시 꺼져 있어요.,2025-09-02T17:05:20Z
39,23,user,52,,보통 몇 시간 뒤에 결과 알림이 오나요?,2025-09-02T15:22:20Z
40,23,admin,,57,통상 24시간 이내이며 긴급은 즉시 처리됩니다.,2025-09-03T13:50:00Z
41,24,user,25,,홈 통계 카드에 ‘-’만 보입니다.,2025-09-02T12:40:20Z
42,24,admin,,58,집계 캐시를 초기화했고 정상화 확인했습니다.,2025-09-04T01:12:00Z
43,25,user,38,,메시지에 올린 첨부가 보이지 않아요.,2025-09-02T09:10:20Z
44,25,admin,,56,권한 체크 수정 패치 적용했
