id,user_id,admin_id,title,category,priority,status,created_at,updated_at,user_last_read_at,admin_last_read_at
1,8,,앱 위치가 틀려요,버그,normal,open,2025-09-04T02:10:00Z,2025-09-04T02:10:10Z,2025-09-04T02:10:10Z,
2,21,57,신고 처리 결과가 궁금합니다,신고/제보,low,answered,2025-09-03T09:00:00Z,2025-09-03T10:10:00Z,2025-09-03T10:12:00Z,2025-09-03T10:10:00Z
3,34,56,비밀번호 재설정이 안돼요,계정,high,pending,2025-09-02T15:20:00Z,2025-09-04T01:05:00Z,2025-09-04T01:06:00Z,2025-09-04T01:05:00Z
4,12,58,결제 취소 요청,결제,high,open,2025-09-01T03:40:00Z,2025-09-01T03:40:00Z,2025-09-01T03:40:10Z,
5,31,57,신고 사진이 업로드되지 않습니다,버그,normal,pending,2025-08-31T12:00:00Z,2025-09-03T08:30:00Z,2025-09-03T08:31:00Z,2025-09-03T08:30:00Z
6,1,,기능 제안: 즐겨찾기 추가,기능요청,low,open,2025-08-30T10:15:00Z,2025-08-30T10:15:00Z,2025-08-30T10:15:20Z,
7,45,56,알림이 너무 자주 와요,기타,normal,answered,2025-08-29T06:10:00Z,2025-08-29T09:00:00Z,2025-08-29T09:02:00Z,2025-08-29T09:00:00Z
8,29,58,계정이 잠겼습니다,계정,high,pending,2025-08-28T23:50:00Z,2025-09-04T02:00:00Z,2025-09-04T02:00:20Z,2025-09-04T02:00:00Z
9,40,57,지도에서 내 위치가 다르게 나와요,버그,normal,closed,2025-08-27T14:12:00Z,2025-08-28T11:00:00Z,2025-08-28T11:00:30Z,2025-08-28T11:00:00Z
10,3,56,신고 내역이 사라졌어요,신고/제보,high,pending,2025-08-26T07:05:00Z,2025-09-03T16:45:00Z,2025-09-03T16:46:00Z,2025-09-03T16:45:00Z
11,46,57,지도 확대 시 앱이 종료돼요,버그,high,pending,2025-09-04T03:10:00Z,2025-09-04T03:25:00Z,2025-09-04T03:25:10Z,2025-09-04T03:25:00Z
12,22,56,신고 사진에 위치가 안 찍혀요,신고/제보,normal,open,2025-09-04T03:15:00Z,2025-09-04T03:15:00Z,2025-09-04T03:15:20Z,
13,55,58,비밀번호 변경 메일 링크 만료,계정,normal,answered,2025-09-03T22:40:00Z,2025-09-04T00:05:00Z,2025-09-04T00:06:00Z,2025-09-04T00:05:00Z
14,8,57,푸시 알림이 안 와요,기타,normal,pending,2025-09-03T21:05:00Z,2025-09-04T02:50:00Z,2025-09-04T02:50:20Z,2025-09-04T02:50:00Z
15,40,,기능 제안: 오프라인 지도,기능요청,low,open,2025-09-03T18:10:00Z,2025-09-03T18:10:00Z,2025-09-03T18:10:30Z,
16,29,56,신고 이력 다운로드가 실패합니다,버그,high,pending,2025-09-03T14:00:00Z,2025-09-04T01:40:00Z,2025-09-04T01:41:00Z,2025-09-04T01:40:00Z
17,12,57,결제 영수증 재발급 요청,결제,normal,answered,2025-09-03T09:20:00Z,2025-09-03T12:35:00Z,2025-09-03T12:36:00Z,2025-09-03T12:35:00Z
18,33,58,신고 작성 중 임시저장 기능 문의,기능요청,low,pending,2025-09-03T07:55:00Z,2025-09-04T02:32:00Z,2025-09-04T02:32:15Z,2025-09-04T02:32:00Z
19,21,56,로그인 시도 제한 해제 요청,계정,high,pending,2025-09-03T06:25:00Z,2025-09-03T08:10:00Z,2025-09-03T08:10:15Z,2025-09-03T08:10:00Z
20,3,57,지도 타일이 늦게 로딩됩니다,기타,low,closed,2025-09-02T23:45:00Z,2025-09-03T10:00:00Z,2025-09-03T10:00:20Z,2025-09-03T10:00:00Z
21,43,58,신고 상세에서 공유 버튼 미작동,버그,normal,pending,2025-09-02T19:30:00Z,2025-09-04T02:20:00Z,2025-09-04T02:20:20Z,2025-09-04T02:20:00Z
22,47,56,알림 설정이 저장되지 않아요,버그,normal,open,2025-09-02T17:05:00Z,2025-09-02T17:05:00Z,2025-09-02T17:05:20Z,
23,52,57,신고 접수 후 결과 알림 시점 문의,신고/제보,low,answered,2025-09-02T15:22:00Z,2025-09-03T13:50:00Z,2025-09-03T13:50:30Z,2025-09-03T13:50:00Z
24,25,58,홈 요약 통계가 비어 보여요,버그,high,pending,2025-09-02T12:40:00Z,2025-09-04T01:12:00Z,2025-09-04T01:12:20Z,2025-09-04T01:12:00Z
25,38,56,문의함에 첨부가 안 보입니다,버그,normal,pending,2025-09-02T09:10:00Z,2025-09-03T22:05:00Z,2025-09-03T22:05:20Z,2025-09-03T22:05:00Z
